"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-40-211",,,,"User:","admin"
"Cmdline:","dstat --nocolor --output /home/admin/cmd3-4000-dstat.csv -T -d -D xvdb -g -i --mem-adv --swap -n -N eth0 -p -r -y --aio --cpu-adv --fs --ipc --socket --tcp --udp --unix --vm --vm-adv",,,,"Date:","17 Jun 2017 01:07:26 UTC"
"epoch","dsk/xvdb",,"paging",,"interrupts",,,"advanced memory usage",,,,,,,,"swap",,"net/eth0",,"procs",,,"io/xvdb",,"system",,"async","total cpu usage",,,,,,,"filesystem",,"sysv ipc",,,"sockets",,,,,"tcp sockets",,,,,"udp",,"unix sockets",,,,"virtual memory",,,,"advanced virtual memory",,,,
"epoch","read","writ","in","out","441","442","443","total","used","free","buff","cach","dirty","shmem","recl","used","free","recv","send","run","blk","new","read","writ","int","csw","#aio","usr","sys","idl","wai","hiq","siq","stl","files","inodes","msg","sem","shm","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","steal","scanK","scanD","pgoru","astll"
1497661646.269,1352.656,93876849.165,0,0,0.039,0.014,17.609,515699699712,1032261632,514487648256,39481344,118972416,0,9273344,30609408,0,0,0,0,0,0,0.490,0.096,6107.585,97196.169,3852.969,0,15.722,0.461,82.649,0.696,0,0.000,0.471,0,25386,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,12893.056,36128.693,13589.563,40734.016,0,0,0,0,0
1497661647.270,0,0,0,0,0,0,1,515699699712,1032142848,514487754752,39481344,118976512,0,9273344,30617600,0,0,66,0,0,0,0,0,0,37,56,0,0,0.016,99.984,0,0,0,0,0,25390,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,0,5,6,0,0,0,0,0,0
1497661648.270,0,0,0,0,0,0,0,515699699712,1032142848,514487754752,39481344,118976512,0,9273344,30617600,0,0,0,0,0,0,0,0,0,101,69,0,0.016,0.047,99.937,0,0,0,0,0,25390,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,0,0,0,0,0,0,0,0,0
1497661649.270,0,0,0,0,0,0,0,515699699712,1032142848,514487754752,39481344,118976512,0,9273344,30617600,0,0,0,0,0,0,0,0,0,30,38,0,0,0.031,99.969,0,0,0,0,0,25390,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,0,0,0,1,0,0,0,0,0
1497661650.270,0,0,0,0,0,0,0,515699699712,1032093696,514487803904,39481344,118976512,0,9273344,30617600,0,0,0,0,0,0,0,0,0,45,57,0,0.016,0.031,99.953,0,0,0,0,0,25390,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,0,0,5,2,0,0,0,0,0
1497661651.270,0,0,0,0,0,0,15,515699699712,1032093696,514487803904,39481344,118976512,0,9273344,30617600,0,0,702,996,0,0,0,0,0,51,92,0,0,0.031,99.969,0,0,0,0,0,25390,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,0,0,0,0,0,0,0,0,0
1497661652.270,0,0,0,0,0,0,5,515699699712,1032093696,514487803904,39489536,118968320,0,9273344,30617600,0,0,270,204,0,0,0,0,0,53,89,0,0,0.031,99.969,0,0,0,0,0,25390,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,0,0,2,0,0,0,0,0,0
1497661653.270,0,0,0,0,0,0,22,515699699712,1032093696,514487803904,39489536,118968320,0,9273344,30617600,0,0,1242,714,0,0,0,0,0,61,109,0,0.016,0.031,99.953,0,0,0,0,0,25390,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,0,0,0,0,0,0,0,0,0
1497661654.270,0,0,0,0,0,0,19,515699699712,1032093696,514487803904,39489536,118968320,0,9273344,30617600,0,0,834,2040,0,0,1,0,0,84,123,0,0.016,0.031,99.953,0,0,0,0,0,25390,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,0,230,147,149,0,0,0,0,0
1497661655.270,0,0,0,0,0,0,3,515699699712,1032093696,514487803904,39489536,118968320,0,9273344,30617600,0,0,176,118,0,0,0,0,0,41,68,0,0,0.031,99.969,0,0,0,0,0,25390,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,0,0,0,0,0,0,0,0,0
1497661656.270,0,0,0,0,0,0,15,515699699712,1032728576,514487169024,39489536,118968320,0,9273344,30617600,0,0,564,1946,0,0,1,0,0,78,127,0,0,0.047,99.953,0,0,0,0,0,25390,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,0,231,147,146,0,0,0,0,0
1497661657.270,0,0,0,0,0,0,3,515699699712,1032728576,514487169024,39489536,118968320,0,9273344,30617600,0,0,168,102,0,0,0,0,0,34,48,0,0.016,0.031,99.953,0,0,0,0,0,25390,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,0,0,0,0,0,0,0,0,0
